keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew,continent,gnd,geonames,latitude,longitude,geotype,country,ipcc
'Kirgisistan',de,Kyrgyzstan,#8e6eee,#8e6eee,2,0.100158333069,ASIA,4030848-0,1527747,41.500000000000,75.000000000000,A,Kyrgyzstan,WCA
'Bischkek',de,Kyrgyzstan,#8f70ef,#8f70ef,2,0.100158333069,ASIA,3002622-2,1528675,42.870000000000,74.590000000000,P,Kyrgyzstan,WCA
'El Salvador',de,El Salvador,#16cb57,#16cb57,2,0.100155745191,SOUTH-AMERICA,2061637-5,3450554,-12.975630000000,-38.490960000000,P,Brazil,NES
'San Salvador',de,El Salvador,#8ce835,#8ce835,2,0.100155745191,CENTRAL-AMERICA,4051527-8,3583361,13.689350000000,-89.187180000000,P,El Salvador,SCA
'Nicaragua',de,Nicaragua,#7fe834,#7fe834,2,0.100154666768,CENTRAL-AMERICA,4042050-4,3617476,13.000000000000,-85.000000000000,A,Nicaragua,SCA
'Managua',de,Nicaragua,#81e832,#81e832,2,0.100154666768,CENTRAL-AMERICA,4252626-7,3617763,12.132820000000,-86.250400000000,P,Nicaragua,SCA
'Tripolis',de,Libya,#5ccdec,#5ccdec,2,0.100149732720,EUROPE-AFRICA,4106962-6,2210247,32.887430000000,13.187330000000,P,Libya,MED
'Libyen',de,Libya,#52c0eb,#52c0eb,2,0.100149732720,AFRICA,4035589-5,2215636,28.000000000000,17.000000000000,A,Libya,SAH
'Beirut',de,Lebanon,#5e98ed,#5e98ed,2,0.100146008315,EUROPE-AFRICA,4005348-9,276781,33.893320000000,35.501570000000,P,Lebanon,MED
'Asunción',de,Paraguay,#13b119,#13b119,2,0.100143759315,SOUTH-AMERICA,4003330-2,3439389,-25.286460000000,-57.647000000000,P,Paraguay,SES
'Paraguay',de,Paraguay,#14b519,#14b519,2,0.100143759315,SOUTH-AMERICA,4044601-3,3437598,-23.333330000000,-58.000000000000,A,Paraguay,SES
'Serbien',de,Serbia,#74c5ef,#74c5ef,2,0.100143223714,EUROPE-AFRICA,4054598-2,6290252,44.818920000000,20.459980000000,A,Serbia,MED
'Sofia',de,Bulgaria,#70bdef,#70bdef,2,0.100142856347,EUROPE-AFRICA,4077502-1,727011,42.697510000000,23.324150000000,P,Bulgaria,MED
