keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Peking',en,China,#FC5C4C,#FC5C4C,2,0.10000070832630001
'China',en,China,#FC5C4C,#FC5C4C,2,0.10000070832630001
'Indien',en,India,#3B0C78,#3B0C78,2,0.10000073930740004
'Neu-Delhi',en,India,#3B0C78,#3B0C78,2,0.10000073930740004
'Washington',en,United States,#8E1D06,#8E1D06,2,0.10000305653893414
'Vereinigte Staaten',en,United States,#8E1D06,#8E1D06,2,0.10000305653893414
'Jakarta',en,Indonesia,#EF6484,#EF6484,2,0.10000373603514429
'Indonesien',en,Indonesia,#EF6484,#EF6484,2,0.10000373603514429
'Islamabad',en,Pakistan,#D2F55A,#D2F55A,2,0.10000471220158158
'Pakistan',en,Pakistan,#D2F55A,#D2F55A,2,0.10000471220158158
'Brasilia',en,Brazil,#19925E,#19925E,2,0.10000477396851214
'Brasilien',en,Brazil,#19925E,#19925E,2,0.10000477396851214
'Nigeria',en,Nigeria,#54D20E,#54D20E,2,0.10000510530352204
'Abuja',en,Nigeria,#54D20E,#54D20E,2,0.10000510530352204
'Bangladesch',en,Bangladesh,#B9ABC1,#B9ABC1,2,0.10000619747488967
'Dhaka',en,Bangladesh,#B9ABC1,#B9ABC1,2,0.10000619747488967
'Moskau',en,Russia,#4CF745,#4CF745,2,0.10000692146661726
'Russland',en,Russia,#4CF745,#4CF745,2,0.10000692146661726
'Japan',en,Japan,#87C835,#87C835,2,0.10000790332026388
'Tokio',en,Japan,#87C835,#87C835,2,0.10000790332026388
'Mexiko',en,Mexico,#6BC224,#6BC224,2,0.10000792450872088
'Mexiko-Stadt',en,Mexico,#6BC224,#6BC224,2,0.10000792450872088
'Addis Abeba',en,Ethiopia,#A5A990,#A5A990,2,0.1000091554501035
'Äthiopien',en,Ethiopia,#A5A990,#A5A990,2,0.1000091554501035
'Philippinen',en,Philippines,#E57800,#E57800,2,0.10000937629609713
'Manila',en,Philippines,#E57800,#E57800,2,0.10000937629609713
'Kairo',en,Egypt,#5F6018,#5F6018,2,0.10001016016535466
'Ägypten',en,Egypt,#5F6018,#5F6018,2,0.10001016016535466
'Vietnam',en,Vietnam,#F49924,#F49924,2,0.10001046677690625
'Hanoi',en,Vietnam,#F49924,#F49924,2,0.10001046677690625
'Demokratische Republik Kongo',en,Democratic Republic of the Congo,#C2BF79,#C2BF79,2,0.10001189511963583
'Kinshasa',en,Democratic Republic of the Congo,#C2BF79,#C2BF79,2,0.10001189511963583
'Berlin',en,Germany,#44AD00,#44AD00,2,0.10001205866463168
'Deutschland',en,Germany,#44AD00,#44AD00,2,0.10001205866463168
'Ankara',en,Turkey,#F547D7,#F547D7,2,0.10001214775695799
'Truthahn',en,Turkey,#F547D7,#F547D7,2,0.10001214775695799
'Iran',en,Iran,#81ABB2,#81ABB2,2,0.10001222489867363
'Teheran',en,Iran,#81ABB2,#81ABB2,2,0.10001222489867363
'Bangkok',en,Thailand,#EEFF06,#EEFF06,2,0.10001440330202037
'Thailand',en,Thailand,#EEFF06,#EEFF06,2,0.10001440330202037
'Frankreich',en,France,#D4DCBD,#D4DCBD,2,0.10001492821528828
'Paris',en,France,#D4DCBD,#D4DCBD,2,0.10001492821528828
'London',en,United Kingdom,#5A65F3,#5A65F3,2,0.10001504008385388
'Vereinigtes Königreich',en,United Kingdom,#5A65F3,#5A65F3,2,0.10001504008385388
'Italien',en,Italy,#1A5251,#1A5251,2,0.10001654772082202
'Rom',en,Italy,#1A5251,#1A5251,2,0.10001654772082202
'Südafrika',en,South Africa,#E2D987,#E2D987,2,0.10001730713987711
'Pretoria',en,South Africa,#E2D987,#E2D987,2,0.10001730713987711
'Dodoma',en,Tanzania,#C3D8A5,#C3D8A5,2,0.10001775620264998
'Tansania',en,Tanzania,#C3D8A5,#C3D8A5,2,0.10001775620264998
"'Nein, Pyi Taw'",en,Myanmar,#00E52D,#00E52D,2,0.1000186190631837
'Myanmar',en,Myanmar,#00E52D,#00E52D,2,0.1000186190631837
'Südkorea',en,South Korea,#F22618,#F22618,2,0.10001936661261059
'Seoul',en,South Korea,#F22618,#F22618,2,0.10001936661261059
'Nairobi',en,Kenya,#2B0462,#2B0462,2,0.10001945789904114
'Kenia',en,Kenya,#2B0462,#2B0462,2,0.10001945789904114
'Kolumbien',en,Colombia,#0D3E50,#0D3E50,2,0.10002014152036454
'Bogotá',en,Colombia,#0D3E50,#0D3E50,2,0.10002014152036454
'Madrid',en,Spain,#8253E3,#8253E3,2,0.10002140239217534
'Spanien',en,Spain,#8253E3,#8253E3,2,0.10002140239217534
'Kiew',en,Ukraine,#0BA9A7,#0BA9A7,2,0.10002241021102441
